鋻	giám
怬	tứ
怭	tất
怮	u
怯	khiếp
怲	bính
怳	hoảng
怵	truật
怿	dịch
怎	chẩm, trẩm
怒	nộ
思	tai, tư, tứ
怠	đãi
怤	phu, phô
急	cấp
怨	oán, uẩn
怱	thông
怷	truật
怹	than, đan
总	tổng
怼	đỗi
恀	thị
恂	tuân, tuấn
恃	thị
恅	lão
恆	căng, cắng, hằng
恇	khuông
恈	mâu
恉	chỉ
恊	hiệp
恌	dao, khiêu, thiêu
恍	hoảng
恑	quỷ
恒	căng, cắng, hằng
恓	tây, tê
恔	hiệu
恛	hồi
恜	sức
恟	hung
恠	quái
恡	lận
恢	khôi
恤	tuất
恨	hận
恪	khác
恫	thông, đồng, đỗng, động
恬	điềm
恰	cáp, kháp
恱	duyệt
恲	phanh
恸	đỗng, động
恹	yêm
恺	khải
恻	trắc
恼	não
恽	uẩn
恾	mang
恁	nhẫm, nhậm
恋	luyến
恐	khúng, khủng
恕	thứ
恙	dạng
恚	huệ, khuể
恝	kiết
恣	thư, tứ
恥	sỉ
恧	nục
恩	ân
恭	cung
息	tức
恳	khẩn
恶	ác, ô, ố
悀	dũng
悁	quyên, quyến
悂	bì
悃	khổn
悄	thiểu, tiễu
悅	duyệt
悇	dự
悈	cức, giới
悋	lận
悌	để, đễ
悍	hãn
悒	ấp
悔	hối, hổi
悕	hy
悖	bội, bột
悗	man, miễn, muộn
悚	tủng
悛	thuyên, thuân
悝	khôi, lí, lý
悞	ngộ
悟	ngộ
悢	lãng, lượng
悦	duyệt
悧	lợi
悭	khan, san
悮	ngộ
悯	mẫn
虑	lư, lự
恿	dũng
悆	dự
悉	tất
悊	triết
悐	thích
悠	du
患	hoạn
悤	thông
您	nâm, nẫn
悪	ác
悫	khác
悬	huyền
悰	tông
悱	phỉ
悴	tụy
悵	trướng
悷	lệ
悸	quý
悻	hãnh
悼	nạo, điệu
悽	thê
悾	không
惀	luân
惃	côn
情	tình
惆	trù
惇	đôn
惈	quả
惊	kinh, lương
惋	oản, uyển
惏	lam, lâm, lẫm
惐	vực
惓	quyền, quyển
惔	đàm, đạm
惕	dịch, thích
惘	võng
惙	chuyết, xuyết
惚	dịch, hốt
惛	hôn, muộn
惜	tích
惝	sưởng, thảng
惞	hân
惟	duy
惦	điếm
惧	cụ
惨	thảm
惬	khiếp, thiếp
惭	tàm
惮	đạn
惯	quán
惸	quỳnh
悲	bi
悳	đức
悶	muộn, môn
惄	nịch
惉	siêm
惌	uyên
惎	kị, kỵ
惑	hoặc
惠	huệ
惡	ác, ô, ố
惢	nhị, tỏa
惣	tổng
惥	dũng
惩	trừng
惪	đức
惫	bại, bị
惰	nọa, đọa
惱	não
惲	uẩn
惴	chúy
惵	điệp
惶	hoàng
惹	nha, nhạ
惺	tinh, tỉnh
惻	trắc
惼	biển
惽	hôn, muộn
惾	tông
愀	sậu, thiểu
愅	cách
愇	vĩ
愉	du, thâu
愊	phúc, phức
愎	phức
愐	miễn
愒	khái, khế
愓	đãng
愔	am, âm
愕	ngạc
愖	kham, thâm, đam
愘	khác
愜	khiếp, thiếp
愞	nhuyễn
愠	uấn
愡	tổng
愣	lăng
愤	phấn, phẫn
愦	hội
愧	quý
愲	cốt
愺	thảo
慅	tao, tháo
慌	hoang, hoảng
慨	khái
厯	lịch
想	tưởng
惷	xuẩn
愁	sầu
愆	khiên
愈	dũ
愍	mẫn
意	y, ý
愗	mậu
愙	khác
愚	ngu
愛	ái
感	cảm, hám
愫	tố
愮	dao, diệu
愯	song, tủng
愰	hoảng
愴	sang, sảng
愵	nịch
愷	khải
愼	thận
愽	bác
愾	hi, hy, hất, khái, khải
慄	lật
慆	thao
慈	tư, từ
慉	súc
慊	hiềm, khiếp, khiết, khiểm
慍	uấn, uẩn
慎	thận
慑	nhiếp
慔	mạc
慠	ngạo
慥	tháo
愨	khác, xác
愬	sách, sánh, tố
愳	cụ
愿	nguyện
慁	hỗn
慂	dũng
慇	ân
態	thái
慒	tao
慓	phiêu, phiếu
慕	mộ
慖	quắc
慘	thảm
慚	tàm
慛	thôi
慝	thắc
慞	chương
慟	đỗng, động
慢	mạn
慣	quán
慪	âu
慬	cần, cận
慯	thưởng
慱	đoàn
慲	man
慳	khan, san, xan
慴	chiếp, chiệp, nhiếp, triệp, điệp
慵	dong, dung, thung
慷	khảng
慺	lâu
慽	thích
憀	liêu
憁	tổng
憏	sế
憜	đọa
㥯	ẩn
𢠢	ủy
慙	tàm
慤	khác, xác
慦	ngận
慧	huệ, tuệ
慫	túng, tủng
慭	ngận
慮	lư, lục, lự
慰	úy, ủy
慶	khanh, khánh, khương
慸	sái, sại, đế
慹	chấp, niệp, triệp
慼	thích
慾	dục
憂	ưu
憃	thung, xuẩn
憇	khế
憋	biết, biệt, miết
憍	kiêu
憎	tăng
憐	liên, lân
憒	hội
憓	huệ
憔	tiều
憘	hy, hỷ
憚	đát, đạn
憛	đàm
憞	đội
憢	hiêu
憣	phiên
憤	phấn, phẫn
憦	lạo
憧	sung, tráng, xung
憨	ham, hàm, hám
憪	hàn
憫	mẫn
憬	cảnh
憭	liêu, liễu, liệu
憮	hủ, vũ
憯	thảm
憰	quyệt, quất
憱	túc, xúc
懂	đổng
懊	áo, úc
憊	bại, bị
憑	bằng, bẵng
憖	ngận
憗	ngận
憙	hí, hý
憝	đỗi, đội
憩	khế
憲	hiến
憴	thằng
憶	ức
憷	sở
憸	tiêm
憹	não, nông
憺	đam, đảm
憼	kỉnh
憾	hám, đảm
憿	kiêu
懁	hoài, hoàn
懅	cứ
懆	tháo, thảo
懈	giải
懌	dịch
懍	lẫm
懒	lãn, lại
懔	lẫm
懙	dư
懜	mộng
懞	mông, mộng
懃	cần
懇	khẩn
應	ưng, ứng
懋	mậu
懑	muộn
懝	ngại
懠	tê
懡	mạ
懤	trù
懥	chí, sí, sý
懦	nhu, nọa
懧	nọa
懨	yêm
懩	dưỡng
懭	khoáng
懱	miết, miệt
懕	yêm
懘	sế
懟	trụy, đỗi
懣	muộn
懪	bạc
懫	chí
懬	khoáng
懮	ưu
懰	lưu, lữu
懴	sám
懵	manh, mông, mặng, mộng
懲	trừng
懶	lãn, lại
懷	hoài
懻	ký
懸	huyền
懹	hoài, nhượng
懺	sám
懽	hoan, hoàn, hoạn, quán
懼	cụ
懾	nhiếp
懿	ý
戀	luyến
戁	nãn, nạn, nản
戄	cụ, quặc
戅	tráng
戆	tráng
戇	cống, tráng
戈	qua
戉	mậu, việt
戊	mậu
戋	tiên, tàn
戌	tuất
戍	thú
戎	nhung
戏	hi, huy, hí, hô, hý
成	thành
我	ngã
戒	giới
戔	tiên, tàn
戕	tường
或	hoặc, vực
戗	sang, thương
战	chiến
载	tái, tại, tải
戚	thích, xúc
戛	kiết
戞	kiết
戟	kích
戢	tập
戡	kham
戣	quỳ
戤	cái, khái, ngái
戥	đẳng
戧	sang, sáng, thương
戩	tiển, tiễn
截	tiệt
戫	vực, úc
戬	tiển
戭	diễn, dẫn
戮	lục
戯	hí, hý
戰	chiến
戱	huy, hí, hô, hý
戲	hi, huy, hí, hô, hý
戴	đái, đới
戳	sác, trạc, trốc
戵	cù
戶	hộ
户	hộ
戸	hộ
戹	ách
戺	sĩ
戼	mão
戽	hố, hỗ
戾	liệt, lệ
房	bàng, phòng
所	sở
扁	biên, biển, thiên
扂	điếm, điệm
扃	côi, quynh, quýnh
扅	di
扆	ỷ
扇	phiến, thiên
扈	hỗ
扉	phi
扊	diễm, diệm
扌	thủ
才	tài
手	thủ
扎	trát
扐	lặc
扑	phác, phốc
扒	bái, bát
打	tá, đả
扔	nhưng, nhận
托	thác
扙	trượng
扚	địch
扛	cang, công, giang
扜	hu
扞	cán, cản, hãn
扠	sa, tra, xoa
扡	tha, thiên
扢	cột, hất, ngật
扣	khấu, khẩu
扤	ngột
扥	thác, đốn
扦	hãn, thiên
执	chấp
扩	khoác, khoách, khoáng, khuếch
扪	môn
扫	táo, tảo
扬	dương
扱	hấp, tháp, tráp
扭	nữu
扮	ban, biện, bán, phạn, phẫn
扯	xả
扰	nhiễu
扳	ban, bản, phan
扵	ư
扶	bồ, phù
批	phê
扺	chỉ
扻	tiết
扼	ách
找	hoa, qua, trảo
技	kĩ, kỹ
抃	biến, biện
抄	sao
抅	câu
抆	vấn, vẫn
抇	hột
抈	nguyệt
抉	quyết
把	bà, bá, bả
抌	thẩm
抍	chửng
抎	vẫn
抏	ngoan, ngoạn
抐	nạp, nột
抑	ức
抒	trữ
抓	trao, trảo
抔	bồi, phầu
投	đầu, đậu
抖	đẩu
抗	kháng
折	chiết, đề
抚	mô, phủ
抛	phao
抝	ảo
択	trạch
抟	chuyên, đoàn
抠	khu
抡	luân
抢	sang, thương, thướng, thưởng
护	hộ
报	báo
拒	củ, cự
拟	nghĩ
㧏	cang, cương
㧑	huy
承	chửng, thừa, tặng
抨	bình, phanh
抪	phô
披	bia, phi
抬	si, sĩ, đài
抭	du
抮	chẩn, hiển
抯	tra
抱	bào, bão
抴	duệ
抵	chỉ, để
抶	sất
抹	mạt
押	áp
抽	trừu
抾	khư, kiếp
抿	mân
拂	bật, phất, phật
拃	tra, tạt
拄	trụ
担	đam, đãn, đảm
拆	sách, xích
拇	mẫu
拈	niêm
拉	lạp
拊	phu, phụ, phủ
拋	phao
拌	bàn, bạn, phan, phán
拍	bác, phách
拎	linh
拐	quải
拑	kiềm
拓	chích, thác, tháp
拔	bạt, bội
拕	tha, đà
拖	tha, đà
拗	ao, húc, nữu, áo, ảo
拘	câu, cù
拙	chuyết
拚	biện, phan, phanh, phiên, phấn
招	chiêu, kiêu, kiều, thiêu, thiều
拝	bái
拢	long, lũng
拣	giản, luyến
拥	ung, Ủng, ủng
拦	lan, lạn
拧	ninh
拨	bát
择	trạch
㧜	liệp
㧟	khối
拏	noa, nã
拜	bái
拪	thiên
拫	ngân
括	hoạt, quát
拭	thức
拮	cát, kiết, kiệt
拯	chủng, chửng
拱	củng
拴	thuyên
拶	tạt
拷	khảo
拸	trì
拹	hiếp
拼	banh, bính, phanh
拽	duệ
拾	kiệp, thiệp, thập
持	trì
挂	quải
挃	trất
挅	suỷ, tuy, đỏa
挆	đỏa
指	chỉ
按	án
挋	chấn
挌	cách
挍	hiệu
挎	khóa, khô
挏	đồng
挑	khiêu, thao, thiêu, thiểu
挓	trát
挖	oát, oạt
挝	qua
挞	thát
挟	hiệp, tiệp
挠	nạo
挡	đáng, đảng
挢	kiều, kiểu, kiệu
挣	tranh, tránh
挤	tê, tễ
挥	huy
挦	triêm, tầm
挪	na
挺	đĩnh
捓	da, gia
拳	quyền
拿	nã
挈	khiết, khế, kiết
挐	noa, nã, nư, nạo
挚	chí
挛	luyên, luyến
挨	ai, ải
挩	thoát, thuế
挫	tỏa
振	chân, chấn, chẩn
挱	sa, ta
挳	khinh
挴	mỗi
挵	lộng
挶	cúc, cư
挹	ấp
挼	nhoa, noa
挽	vãn
挾	cáp, hiệp, tiệp
捁	giảo
捂	ngộ, ô
捃	quấn, quận
捄	cầu, cứu
捅	thống
捆	hồn, khổn
捈	đồ
捉	tróc
捊	bào, phu
捋	liệt, loát
捌	bát
捍	hãn, tốc
捎	sao, siếu, tiêu
捏	niết
捐	quyên
捔	giác, trác
捕	bổ, bộ
捖	hoàn
捗	duệ
捘	tuấn
捞	lao, liệu
损	tổn
捡	kiểm
换	hoán
捣	đảo
挲	sa, ta
捥	oản, uyên
捦	cầm
捧	bổng, phụng, phủng
捨	xả
捩	liệt, lệ
捫	môn
捬	phụ, phủ
捭	bác, bãi, phách
据	cư, cứ
捱	ngai, nhai
捲	quyền, quyển
捴	tổng
捵	nhiên, điến, điền
捶	chúy, chuỷ, trùy
捷	thiệp, tiệp
捺	nại
捻	nhiên, niêm, niễn, niệm, niệp, nẫm
捼	nhoa, noa, nôi
捽	tốt
捾	oát
掀	hiên, hân
掁	trành
掂	điêm, điếm, điểm
掃	táo, tảo
掄	luân
掆	cang, cương, giang
掇	xuyết
授	thọ, thụ
掉	trạo, điệu
掊	bẫu, bồi, phó, phẩu, phẫu
掍	cổn
掎	ky, kỉ, kỷ, ỷ
掏	đào
掐	kháp
排	bài
掖	dịch
掗	nhã, á
掘	quật
掙	tranh, tránh
掛	quải
掜	nghiệt, nghễ
掝	hoặc
掞	diễm, diệm, thiểm
掠	lược
採	thái, thải
探	tham, thám
掤	băng
接	tiếp
掦	thích
控	khoang, khống
推	suy, thôi
掩	yểm
措	thố, trách
掫	chu, tâu, tưu
掬	cúc
掭	thiệm
掮	kiên
掯	khẳng
掳	lỗ
掴	quách, quắc, quặc, quốc
掷	trịch
掸	đàn, đạn
掺	sam, sảm, tham, tiêm
掼	quán
掽	bánh, bính
掿	nạch
描	miêu
揵	kiền, kiện
揶	da, gia
掌	chưởng
掔	khan, kiên
掣	sế, xiết, xế
掰	bai, bài, phách
掱	thủ, vát
掾	duyện
揀	giản, luyến
揂	do, thu, tù
揃	tiên, tiễn
揄	du
揆	quỹ
揉	nhu, nhụ
揌	tai
揍	thấu, tấu
揎	tuyên
提	thì, đề, để
揑	nghễ, niết
插	sáp, tháp, tráp
揔	tổng
揕	chấm, trấm
揖	tập, ấp
揗	thuẫn, tuần
揘	hoành, niết
揚	dương
換	hoán
揜	yểm
揝	toản, tản
揞	yêm
揠	yết, yển
握	ác, ốc
揢	khách
揣	chùy, suỷ, tuy, đoàn
揥	thế, đế
揦	lạp, lạt
揩	giai, khai
揪	thu, tưu
揬	đột
揭	khế, yết
揮	huy
揲	diệp, thiệt, xà, điệp
揳	kiết, tiết
援	viên, viện
揷	sáp, tháp, tráp
揸	tra
揹	bội
揺	dao, diêu
揽	lãm
揾	uấn
揿	khấm
搀	sam
搁	các
搂	lâu
搃	tổng
搅	giảo
搓	sai, tha
搔	tao, trảo
搜	sưu, sảo, tiêu
搥	trùy, đôi
搭	tháp, đáp
搰	cô, cốt, hột
搽	trà
摒	bính, tính
揅	nghiên
揫	thu, tưu
揱	sóc
搆	câu, cấu
搇	khấm
搉	giác, xác
搊	sâu, sưu, trửu, xu, xâu
搋	sai, sỉ, trỉ
搌	triển
損	tổn
搎	tôn
搏	bác, chuyên, đoàn
搐	súc
搒	bang, bàng, bành, bảng
搕	hạp, khạp, ngạ, áp
搖	dao, diêu
搗	đảo
搘	chi
搚	hiếp, lạp
搛	kiêm
搞	cảo
搠	sóc
搡	táng
搢	tấn
搣	diệt
搤	ách
搦	nhược, nạch
搧	phiến, thiên
搨	tháp
搩	trách
搪	đường
搬	ban, bàn
搯	thao, đào
搲	oa
搳	hoa, hạt
搵	uấn, vấn
搶	sang, sanh, thương, thướng, thưởng, thảng
搷	chẩn, điền
搹	ách
携	huề
搾	trá
摀	ô
摁	ân
摄	nhiếp
摅	sư
摆	bi, bài, bãi
摇	dao, diêu
摈	bấn, thấn, tấn
摊	than
摋	sát, tát
摑	quách, quắc, quặc, quốc
摓	phùng
摙	liễn
摛	si
摸	mô, mạc
㨪	hoảng
搫	bà, bàn
搴	khiên
搿	cách
摍	súc
摎	cưu, lưu
摏	thung
摐	song
摔	suất
摕	đế
摘	trích
摚	đường
摜	quán
摝	lộc
摞	loa
摟	lâu
摠	tổng
摢	hồ, hộ, sư, xư
摣	tra
摧	thôi, tỏa, tuỷ, tồi
摫	quy
摭	chích, trích
摮	ngao
摲	sảm
摳	khu
摴	sư, xư
摵	sách, súc
摶	chuyên, đoàn
摷	sào, tiễu
摹	mô
摺	chiếp, chiệp, lạp, triệp
摻	sam, sâm, sảm, tham, thám, tiêm
摼	khanh, khinh, khiên
摽	phiêu, phiếu, tiêu
撂	lược
撄	anh, oanh
撇	phiết
撖	hàn, hạm
撦	xả
撾	qua
摩	ma
摯	chí
摰	chí, nghiệt
撃	kích
撅	quyết, quyệt, quệ
撆	biết
撈	lao, liệu
撊	giản
撋	nhuyên
撌	quỹ
撏	triêm, trâm, tầm
撐	sanh, xanh
撑	sanh, xanh
撒	tát, tản
撓	nạo
撕	ti, ty, tê, tề, tỵ
撘	đáp
撙	tổn, tỗn
撚	nhiên, niên, niết, niển, niễn, niệm, niệp
撜	chửng, trành
撝	huy
撞	chàng, tràng
撟	kiều, kiểu, kiệu
撠	kích
撡	thao
撢	thám, đạn
撣	đàn, đãn, đạn
撤	triệt
撥	bát, phạt
撧	quyết, tuyệt
撩	liêu, liệu
撫	mô, phủ
撬	khiêu
播	bá, bả
撮	toát
撰	chuyển, soạn, toán, tuyển
撲	bạc, phác, phốc
撳	khấm
撴	đôn
撵	niện
撷	hiệt
撺	soán, thoán
撻	thát
擏	cảnh, kình
擒	cầm
擕	huề
擖	ca, khát
撼	hám
撽	khiếu
撿	kiểm, liệm
擀	cán
擁	ung, ủng
擂	lụy, lôi
擄	lỗ
擅	thiện
擇	trạch
擉	thục, trạc
擋	đáng, đảng
操	thao, tháo
擎	kình
擐	hoàn, hoạn
擓	khối
擔	đam, đảm
擗	bích, bịch, phích, tích, tịch
據	cứ
擞	tẩu
擭	hoạch, hộ, oách
擊	kích
擘	bài, bịch, phách
擠	tê, tễ
擡	sĩ, đài
擢	trạc
擣	đảo
擤	hanh, tỉnh
擦	sát
擧	cử
擩	nhuyên, nhũ, nhụ
擫	áp
擬	nghĩ
擯	bấn, thấn, tấn
擰	ninh, nịnh
擱	các
擲	trịch
擴	khoác, khoách, khoáng, khoắc, khuếch
擿	thích, trích, trịch
攃	thát
擥	lãm
擪	áp
擷	hiệt
擸	liệp, lạp, tạp
擺	bài, bãi
擻	tẩu
擽	lịch
擾	nhiễu
攂	lụy, lôi
攄	sư
攅	toàn
攆	niện
攀	phan, phàn
攇	hiến
攈	quấn
攉	hoắc
攌	hoàn
攍	doanh
攎	la, lô
攐	khiên
攒	toàn, toản
攓	kiển
攔	lan, lạn
攕	tiêm
攖	anh, oanh
攗	quấn
攘	nhương, nhưỡng, nhượng
攙	sam
𢹍	hy
攏	long, lung, lũng
攛	soán, thoán
攜	huề
攝	nhiếp
攡	ly
攞	la, lõa
攟	quấn
攢	toàn, toản
攤	than
攦	lệ
攧	điên
攣	luyên, luyến
攥	toản, tát
攩	đảng
攪	cảo, giảo
攫	quắc, quặc
攬	lãm
攭	lệ
攮	nãng
支	chi
攲	khi
攳	tầm
攴	phác, phốc, phộc
攵	phác, phốc, phộc, truy
收	thu, thâu, thú
攷	khảo
攸	du
改	cải
攺	cải
攻	công
攽	ban, bân
放	phóng, phương, phỏng
政	chinh, chánh, chính
敁	điêm
敂	khấu
敃	mân, mẫn, phân
故	cố
效	hiệu
敉	mị
敌	địch
敖	ngao, ngạo
啟	khải, khởi
敍	tự
敎	giao, giáo
敏	mẫn
救	cứu
敓	thoát
敔	ngữ
敕	sắc
敗	bại
敘	tự
教	giao, giáo
敛	liễm, liệm
敝	tệ
敢	cảm
敜	niếp
敞	sưởng, xưởng
敠	uyết, xuyết
散	tán, tản
敤	khỏa
敦	điêu, đoàn, đôi, đôn, đạo, đối, đồn, độn
敨	thầu, đẩu
敩	giáo, hiệu
敪	uyết, xuyết
敬	kính
敫	kiểu
敭	dương
数	sác, số, sổ, xúc
敱	ngai
敲	xao
敳	ngai
敶	trần
敻	huyến, quýnh
敵	địch
敷	phu
數	sác, số, sổ, xúc
敹	liêu
敺	khu, ẩu
整	chỉnh
敽	kiểu
敿	kiều, kiểu
斁	dịch, đố
斂	liễm, liệm
斃	tễ, tệ
斄	lai, li, ly
斅	hiệu
斆	giáo, hiệu
文	văn, vấn
斈	học
斉	tề
斋	trai
斎	trai
斌	bân
斐	phi, phỉ
斑	ban
斒	ban
斓	lan
斕	lan
斗	đấu, đẩu, ẩu
料	liêu, liệu
斛	hộc
斜	gia, tà
斝	giả
斞	dữu
斟	châm
斠	các, dác, giác
斡	oát, quản
斤	cân, cấn
斥	xích
斧	phủ
斨	thương
斩	trảm
斪	cù
斫	chước
颀	khẩn, kì, kỳ
斬	trảm
断	đoán, đoạn
斮	trác, trước
斯	tư
新	tân
斲	trác
斳	cần
斵	trác
斶	xúc
斷	đoán, đoạn
斸	chước, trọc, trục
方	bàng, phương
斻	hàng
於	ô, ư
施	di, dị, thi, thí, thỉ
斾	bái
斿	du, lưu
旁	banh, bàng, bạng, phang
旂	kì, kỳ
旃	chiên
旄	mao, mạo
旅	lữ
旆	bái
旊	phưởng
旇	mỹ, phi
旉	phu
旋	toàn, tuyền
旌	tinh
旍	tinh
旎	ni, nỉ, nị
族	thấu, tấu, tộc
旐	triệu
旒	lưu
旓	sao
旖	y, ỷ
旗	kì, kỳ
旛	phan
旞	toại, tùy
旜	chiên
旝	quái
旟	dư
无	mô, vô
旡	kí, ký, vô
既	kí, ký
旣	kí, ký
旤	họa
日	nhật, nhựt
旦	đán
旧	cựu
旨	chỉ
早	tảo
旪	hiệp
旬	quyên, quân, tuần
旭	húc
旮	ca
旯	lạp
旰	cán, hãn
旱	hạn
旳	đích
旴	hu, húc
旵	sảm
时	thì, thời
旷	khoáng
旸	dương
旹	thì, thời
旺	vượng
旻	mân
旼	mân
旾	xuân
昀	quân
昂	ngang
昃	trắc
昄	bản
昆	côn
昇	thăng
昈	hộ
昉	phưởng
昊	hạo
昋	huệ
昌	xương
明	minh
昏	hôn, mẫn
昒	hốt
易	dị, dịch
昔	thác, thố, tích, tịch
昕	hân
昙	đàm
畅	sướng
昚	thận
昜	dương
昝	tảm
昞	bính, bỉnh
星	tinh
映	ánh
昡	huyễn
昢	phốt
春	xuân
昧	muội, mạt
昨	tạc
昪	biện
昫	hu, hú
昬	hôn
昭	chiêu, thiều
是	thị
昱	dục
昲	phí
昳	diễm, dật, điệt
昴	mão
昵	chức, nật, nặc, nễ
昶	sướng, sưởng
昷	ôn
昺	bính, bỉnh
昼	trú
昽	lung, lông
显	hiển
晁	triều, trào
時	thì, thời
晃	hoàng, hoảng
晄	hoảng
晅	huyên
晈	hiểu
晉	tấn
晊	chí
晋	tấn
晌	hướng, thưởng
晏	yến, án
晒	sái
晓	hiểu
晔	diệp
晕	vựng
晖	huy
晟	thạnh, thịnh
晗	hàm
晚	vãn
晛	hiện
晜	côn
晝	trú
晞	hi, hy
晡	bô
晢	triết
晣	triết
晤	ngộ
晦	hối
晧	hạo
晨	thần
曼	man, mạn
曽	tằng
晩	vãn
晫	trác
晬	tối
普	phổ
景	cảnh, ảnh
晰	tích
晳	chế, triết, tích
晴	tình
晶	tinh
晷	quỹ
智	trí
晻	yểm, ám, ảm
晼	oản, uyển
晽	lâm
晾	cảnh, lượng
暀	vưởng
暂	tạm
暎	ánh
暑	thử
暄	huyên
暆	di
暇	hạ, xuyết
暈	vận, vựng
暉	huy
暋	mân, mẫn
暌	khuê
暍	hát, yết
暐	vĩ
暖	huyên, noãn
暗	ám, âm
暘	dương
𣈱	sướng
暝	minh, mính, mịnh
暠	cảo, hạo
暢	sướng
暤	hạo
暦	lịch
暧	ái
暨	kị, kỵ
暮	mộ
暱	nật, nặc
暫	tạm
暬	tiết
暭	hạo
暴	bão, bạo, bộc
暵	hán
暹	tiêm, xiêm
曃	đại
曄	diệp
曏	hướng, hưởng
暸	liêu, liệu
暾	thôn, đôn
暿	hy
曀	ê, ý, ế
曁	kị, kỵ
曆	lịch
曇	đàm
曈	đồng
曉	hiểu
曌	chiếu
曖	ái
曙	thự
曚	mông
曛	huân
曜	diệu
曠	khoáng
曝	bộc
曟	thần
曡	điệp
曣	yến
曦	hi, hy
曨	lung, lông
曩	nãng, nẵng
曬	sái
曭	đảng
曰	viết
电	điện
曲	khúc
曳	duệ
更	canh, cánh
曵	duệ
曶	hốt
曷	hạt, át
書	thư
曺	tào
勗	húc, úc
曹	tào
曼	man, mạn
曾	tăng, tằng
替	thế
最	tối
朁	thảm
朂	húc
會	cối, hội
朄	dẫn
朅	khiết
朆	phân
月	nguyệt
有	dựu, hữu, hựu
朊	nguyễn, oản
朋	bằng
朌	phần
服	phục
朏	phỉ
朐	cù
朒	nục
朓	thiêu, thiểm, thiểu
朔	sóc
朕	trẫm
朗	lãng
朖	lãng
朙	minh
望	vọng
朝	triêu, triều, trào
朞	cơ, ki, ky, kỳ
期	cơ, ki, ky, kì, kỳ
朡	tông
朢	vọng
朣	đồng
朦	mông
朧	long, lung, lông
木	mộc
未	mùi, vị
末	mạt
本	bôn, bản, bổn
札	trát
朮	truật
术	thuật, truật
朱	chu, châu
朳	bát
朴	phu, phác
朵	đóa
朶	đóa
朸	lực
朹	cưu, cựu
机	cơ, ki, ky, kì, kỷ
朽	hủ
朾	tranh
朿	thứ
杀	sái, sát, tát
杂	tạp
权	quyền
杅	vu
杆	can, hãn
杇	ô
杈	sá, xoa
杉	am, sam
杌	ngột
李	lí, lý
杏	hạnh
材	tài
村	thôn
杓	chước, thược, tiêu
杕	đà, đệ
杖	tráng, trượng
杗	mang
杘	sí
杙	dặc, dực
杚	cật
杜	đỗ
杝	di, kỷ, trĩ
杞	kỉ, kỷ
束	thú, thúc
杠	cống, giang
条	thiêu, điêu, điều
来	lai, lãi
杧	mang
杨	dương
极	cấp, cập, cực, kiệp
杪	diểu, miểu
杬	ngoạn, nguyên
杭	hàng
杮	phế
杯	bôi
杰	kiệt
東	đông
杲	cảo
杳	diểu, liểu, liễu, yểu
杵	chử, xử
杶	chuân, suân
杷	ba, bà, bá
杹	hóa
杻	nữu, sứu, sửu
杼	thư, thữ, thự, trữ
松	tung, tông, tùng
板	bản
构	cấu
枅	bình, kiên, kê, phanh
枇	tì, tỳ
枉	uổng
枊	ngang
枋	bính, phương
枌	phần
枏	nam
析	tích
枑	hộ
枒	nha, nhạ
枓	chủ, đấu, đẩu
枕	chấm, chẩm
林	lâm
枘	nhuế
枚	mai
果	quả
枝	chi, kì, kỳ
枞	tung
枢	xu
枣	táo, tảo
枥	lịch
枨	tranh, trành
枩	tùng
枪	sang, sanh, thương
枫	phong
枬	nam
枭	kiêu
柜	cử, cự, quỹ
柹	sĩ, thị
枯	khô
枰	bình, bính
枱	cử, di, đài
枲	tỉ, tỷ
枳	chỉ
枴	quải
枵	hiêu
架	giá
枷	gia, già, giá
枸	câu, cẩu, củ
枹	bao, phu, phù
枻	duệ, tiết
枼	diệp
枿	nghiệt
柁	đà, đả
柂	di, đà
柃	linh
柄	bính
柅	ni, sí
柈	bàn, bán
柊	chung
柍	anh, ương
柎	phu, phụ, phủ
柏	bá, bách
某	mỗ
柑	cam, kiềm
柒	thất
染	nhiễm
柔	nhu
柘	chá, chạ, giá
柙	giáp, hiệp
柚	dữu, trục
柛	thân
柝	thác
柞	sạ, trách, tạc
柟	nam
柠	ninh, nịnh
柢	đế, để
柣	trật
柤	tra, trở
查	tra
柧	cô
柨	sĩ, thị
柩	cữu
柫	phất
柬	giản
柮	đóa, đốt
柯	kha
柰	nại
柱	trú, trụ
柲	biết
柳	liễu
柵	san, sách
柶	tê, tứ
柷	chúc
柽	sanh
柿	sĩ, thị
栀	chi
栂	mẫu
栃	lệ
栄	vinh
栅	san, sách
标	phiêu, tiêu
栈	chăn, sạn, trăn, xiễn
栉	trất
栊	long, lung
栋	đống
栌	lô
栎	lao, lịch
栏	lan
树	thọ, thụ
柴	si, sài, trại, tái, tý, tứ
栓	thuyên, xuyên
栔	khế
栖	thê, tây, tê
栗	lật
栘	di
栚	trẫm
栝	quát, thiến, thiệm
栞	khan, san
栟	bôn, kiên
校	giáo, hiệu, hào
栢	bá, bách
栨	thứ
栩	hú, hủ
株	chu, châu
栭	nhi
栯	hữu
栰	phạt
栱	củng
栲	khảo
栳	lão
栴	chiên
栵	liệt, lệ
样	dạng
核	hạch, hạt, hồ
根	căn
栻	thức
格	các, cách
栽	tài, tải
栾	loan
桀	kiết, kiệt
桁	hàng, hành, hãng
桂	quế
桃	đào
桄	quang, quáng
桅	nguy, ngôi
框	khuông
案	án
桉	an, án
桋	di, đề
桌	trác
桎	chất, trất
